,keyID,slope,aspect,height,lon,lat
36,CZ_JH1_L5XL5_18,2.40314,12.77156,283.32132,15.083843,50.326455
37,CZ_JH1_L5XL5_25,3.26155,59.04029,293.5578,15.097643,50.326098
38,CZ_JH1_L5XL5_33,10.55855,49.61353,279.03186,15.120709,50.340106
39,CZ_JH1_L6XL6_11,8.24968,333.13058,190.29185,14.723959,50.188227
40,CZ_JH1_L6XL6_19,0.58239,176.74973,195.06871,14.730503,50.190772
41,CZ_JH1_L6XL6_21,3.24766,148.74152,197.37808,14.731595,50.187359
42,CZ_JH1_L1XL1_10,4.9117,4.40154,569.42792,13.54151,49.542787
43,CZ_JH1_L1XL1_27,9.5233,106.80553,586.40033,13.560844,49.531163
44,CZ_JH1_L1XL1_31,10.30608,24.6056,522.52563,13.562918,49.544061
45,CZ_JH1_L1XL1_36,9.24731,18.98554,567.12134,13.573293,49.5287
46,CZ_JH1_L2XL2_01,12.79311,232.05827,913.44165,14.672908,48.663538
47,CZ_JH1_L2XL2_17,0.59904,19.42449,896.82141,14.7011,48.648102
48,CZ_JH1_L2XL2_32,24.76769,14.83588,814.66119,14.707272,48.676202
49,CZ_JH1_L2XL2_38,21.58955,240.83363,821.29187,14.71104,48.673602
50,CZ_JH1_L3XL3_18,14.90877,151.83186,794.00031,18.421654,49.404157
51,CZ_JH1_L3XL3_23,11.50886,14.29359,746.02087,18.426114,49.401481
52,CZ_JH1_L3XL3_34,22.77238,314.15842,721.46362,18.438852,49.401577
53,CZ_JH1_L3XL3_37,29.6926,161.56104,700.47662,18.438937,49.410521
54,CZ_JH1_L4XL4_20,6.07223,111.35631,691.53485,15.519823,49.310545
55,CZ_JH1_L4XL4_23,18.33012,241.32024,680.98334,15.518016,49.321865
56,CZ_JH1_L4XL4_32,1.03103,78.92821,669.43262,15.525739,49.303322
57,CZ_JH1_L4XL4_42,7.31646,58.19535,620.69934,15.545712,49.293577
58,CZ_JH1_L5XL5_01,0.71167,332.25037,282.59576,15.059119,50.326963
59,CZ_JH1_L5XL5_12,2.77931,141.60115,281.05804,15.077851,50.327902
60,CZ_JH1_L5XL5_21,1.04937,239.94386,285.26334,15.083735,50.335017
61,CZ_JH1_L6XL6_02,1.56389,272.4202,191.28972,14.708625,50.195365
62,CZ_JH1_L6XL6_03,4.17654,273.40567,197.4594,14.715161,50.193975
63,CZ_JH1_L6XL6_14,6.93291,335.06354,195.30791,14.726151,50.188078
64,CZ_JH1_L1XL1_07,6.50984,32.62561,575.11078,13.540116,49.540356
65,CZ_JH1_L1XL1_17,14.54638,101.00903,609.83911,13.557367,49.530772
66,CZ_JH1_L1XL1_34,5.05072,139.33998,555.75,13.567928,49.535277
67,CZ_JH1_L1XL1_44,16.36831,39.84906,486.98276,13.578358,49.540924
68,CZ_JH1_L2XL2_06,31.18912,22.18285,865.45331,14.681013,48.665651
69,CZ_JH1_L2XL2_18,20.82814,173.99225,859.8161,14.693458,48.687368
70,CZ_JH1_L2XL2_20,22.70637,346.48141,814.65253,14.699432,48.677609
71,CZ_JH1_L2XL2_44,9.05276,215.31323,796.23981,14.718841,48.677665
72,CZ_JH1_L3XL3_24,11.50433,31.25924,748.1424,18.426277,49.407862
73,CZ_JH1_L3XL3_27,18.70036,150.39938,728.00183,18.430845,49.403854
74,CZ_JH1_L3XL3_31,11.67,119.60884,717.54913,18.435069,49.40486
75,CZ_JH1_L3XL3_41,31.11808,239.41997,827.40393,18.44683,49.39645
76,CZ_JH1_L4XL4_04,11.59341,235.18713,641.13959,15.506597,49.307745
77,CZ_JH1_L4XL4_18,4.91648,45.99189,687.7677,15.518354,49.313803
78,CZ_JH1_L4XL4_26,8.4872,51.54174,674.48798,15.519955,49.323249
79,CZ_JH1_L4XL4_27,12.76639,137.28543,652.88,15.526219,49.293779
80,CZ_JH1_L5XL5_05,1.06194,295.47665,276.56952,15.066486,50.333654
81,CZ_JH1_L5XL5_32,10.36239,349.26117,264.51035,15.120733,50.336526
82,CZ_JH1_L5XL5_38,9.47657,96.71643,250.08617,15.13389,50.339886
83,CZ_JH1_L6XL6_04,2.5267,16.48124,196.27139,14.716608,50.194463
84,CZ_JH1_L6XL6_15,2.77416,142.68385,197.26224,14.725472,50.191608
85,CZ_JH1_L6XL6_17,7.65121,46.46082,190.71172,14.728067,50.188485
86,CZ_JH1_L1XL1_38,9.77524,70.16708,512.74969,13.574735,49.533701
87,CZ_JH1_L1XL1_43,9.51512,51.69572,489.15826,13.579567,49.533539
88,CZ_JH1_L2XL2_09,15.43725,118.21661,806.67926,14.688769,48.664233
89,CZ_JH1_L2XL2_26,7.16121,70.37837,861.86963,14.708578,48.651954
90,CZ_JH1_L3XL3_26,17.17315,165.79514,755.88849,18.426743,49.410664
91,CZ_JH1_L3XL3_38,21.74738,302.2417,691.08649,18.441738,49.40497
92,CZ_JH1_L4XL4_02,1.29764,63.97007,643.57721,15.513949,49.320338
93,CZ_JH1_L4XL4_11,6.61076,227.82751,651.10474,15.503431,49.309612
94,CZ_JH1_L5XL5_19,18.40107,12.56894,272.15799,15.081978,50.338903
95,CZ_JH1_L5XL5_28,3.14602,39.34415,256.37503,15.106875,50.337417
96,CZ_JH1_L6XL6_01,5.36919,171.09946,184.96495,14.707074,50.197778
97,CZ_JH1_L1XL1_02,10.42789,286.85632,548.81042,13.534365,49.536856
98,CZ_JH1_L1XL1_09,16.69016,1.73641,617.40295,13.543617,49.533563
99,CZ_JH1_L2XL2_04,13.6272,185.11771,888.81842,14.679391,48.659569
100,CZ_JH1_L2XL2_21,14.85415,203.12119,783.40155,14.699516,48.682349
101,CZ_JH1_L3XL3_33,10.19669,62.22625,719.96381,18.436385,49.40204
102,CZ_JH1_L3XL3_36,15.47751,137.17879,686.99109,18.438825,49.40776
103,CZ_JH1_L4XL4_30,8.98313,89.01816,637.39404,15.527832,49.291175
104,CZ_JH1_L4XL4_39,4.69117,102.53544,639.69452,15.529918,49.312732
105,CZ_JH1_L5XL5_04,4.61992,253.2574,272.07095,15.064874,50.327288
106,CZ_JH1_L5XL5_37,6.2468,167.51953,245.04993,15.130808,50.343236
